,﻿Opportunity ID,Account ID,StageName,IsClosed,IsWon,CreatedDate,Term in Months,Service,Opportunity Type,Product Group,Building ID,Market,Street Address,City,State,Postal Code,Network Proximity,On Zayo Network Status,Latitude,Longitude
11,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,,,New Service,Ethernet,Bldg-109081,Atlanta,5909 N Peachtree Rd,Dunwoody,GA,30338,225.67,On Zayo Network,33.916299,-84.3503
12,Opp-000008,Acct-000191,Closed - Lost,True,False,7/1/16,,,New Service,Ethernet,Bldg-136838,Atlanta,1001 Summit Blvd NE,Atlanta,GA,30319,170.93,On Zayo Network,33.9156572,-84.340984
13,Opp-000009,Acct-000950,Closed - Lost,True,False,7/1/16,,,New Service,IP Services,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
14,Opp-000009,Acct-000950,Closed - Lost,True,False,7/1/16,,,New Service,IP Services,Bldg-015168,Denver,1850 Pearl St,Denver,CO,80203,103.07,On Zayo Network,39.745886,-104.9794996
15,Opp-000009,Acct-000950,Closed - Lost,True,False,7/1/16,,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,32.787255,-96.794118
16,Opp-000010,Acct-000427,4 - Closed,True,True,7/1/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
17,Opp-000011,Acct-000427,1 - Working,False,False,7/1/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
18,Opp-000012,Acct-000034,1 - Working,False,False,7/2/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
19,Opp-000012,Acct-000034,1 - Working,False,False,7/2/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network,39.5873873,-104.876543
20,Opp-000012,Acct-000034,1 - Working,False,False,7/2/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-140646,Denver,106 Inverness Circle E,Englewood,CO,80112,704.51,Not on Zayo Network,39.5770328,-104.8631422
21,Opp-000013,Acct-000469,Closed - Lost,True,False,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
22,Opp-000013,Acct-000469,Closed - Lost,True,False,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,On Zayo Network,33.0093307,-96.6764626
23,Opp-000014,Acct-000469,5 - Accepted,True,True,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,32.787255,-96.794118
24,Opp-000014,Acct-000469,5 - Accepted,True,True,7/1/16,36.0,,New Service,Wavelengths - Metro,Bldg-361118,Dallas,2800 Summit Ave,Plano,TX,75074,202.08,On Zayo Network,33.0093307,-96.6764626
25,Opp-000015,Acct-000427,3 - Committed,False,False,7/1/16,60.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
26,Opp-000016,Acct-000435,Closed - Lost,True,False,7/2/16,36.0,,New Service,Ethernet,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
27,Opp-000017,Acct-000938,Closed - Lost,True,False,7/2/16,36.0,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,On Zayo Network,33.005724,-96.736843
28,Opp-000017,Acct-000938,Closed - Lost,True,False,7/2/16,36.0,,New Service,Wavelengths - Metro,Bldg-118244,Dallas,8 Campus Cir,Roanoke,TX,76262,479.98,On Zayo Network,32.98064,-97.17446
29,Opp-000018,Acct-000938,5 - Accepted,True,True,7/2/16,60.0,,New Service,Wavelengths - Long Haul,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,On Zayo Network,32.9263025,-96.9852418
30,Opp-000019,Acct-000938,5 - Accepted,True,True,7/2/16,60.0,,New Service,Wavelengths - Metro,Bldg-015500,Dallas,2300 W Plano Pkwy - Bldg C,Plano,TX,75075,657.46,On Zayo Network,33.005724,-96.736843
31,Opp-000019,Acct-000938,5 - Accepted,True,True,7/2/16,60.0,,New Service,Wavelengths - Metro,Bldg-359461,Dallas,3001 Hackberry Rd,Irving,TX,75063,268.84,On Zayo Network,32.9263025,-96.9852418
32,Opp-000020,Acct-000056,Closed - Lost,True,False,7/5/16,12.0,,New Service,Wavelengths - Metro,Bldg-117680,Dallas,3000 Telecom Pkwy,Richardson,TX,75082,4830.93,On Zayo Network,32.99042,-96.651985
33,Opp-000020,Acct-000056,Closed - Lost,True,False,7/5/16,12.0,,New Service,Wavelengths - Metro,Bldg-117872,Dallas,4500 Amon Carter Blvd,Fort Worth,TX,76155,85.33,On Zayo Network,32.83001,-97.04868
34,Opp-000021,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network,39.5643596,-104.8665482
35,Opp-000022,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
36,Opp-000022,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network,39.5643596,-104.8665482
37,Opp-000023,Acct-001119,1 - Working,False,False,7/5/16,36.0,,New Service,Ethernet,Bldg-111386,Denver,3431 N Windsor Dr,Aurora,CO,80011,779.17,On Zayo Network,39.762776,-104.762111
38,Opp-000024,Acct-000019,3 - Committed,False,False,7/5/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
39,Opp-000025,Acct-001120,5 - Accepted,True,True,7/6/16,36.0,,New Service,IP Services,Bldg-464044,Dallas,1430 E Southlake Blvd,Southlake,TX,76092,,Build in Progress,32.94136,-97.130087
40,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
41,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-032157,Dallas,1500 E Plano Pkwy,Plano,TX,75074,251.92,Not on Zayo Network,33.0064731,-96.6917456
42,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-127057,Dallas,1649 W Frankford Rd,Carrollton,TX,75007,630.74,On Zayo Network,32.992076,-96.930441
43,Opp-000026,Acct-000944,Closed - Lost,True,False,7/6/16,36.0,,New Service,Wavelengths - Metro,Bldg-137677,Dallas,6431 Longhorn Dr,Irving,TX,75063,338.03,On Zayo Network,32.8970767,-96.9829687
44,Opp-000027,Acct-000116,1 - Working,False,False,7/6/16,,,New Service,Wavelengths - Long Haul,Bldg-108671,Denver,9706 E Easter Ave,Englewood,CO,80112,109.6,On Zayo Network,39.5873873,-104.876543
45,Opp-000028,Acct-000036,Closed - Lost,True,False,7/6/16,,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
46,Opp-000029,Acct-000141,1 - Working,False,False,7/6/16,,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
47,Opp-000029,Acct-000141,1 - Working,False,False,7/6/16,,,New Service,IP Services,Bldg-054666,Atlanta,1201 W Peachtree St NE,Atlanta,GA,30309,159.56,On Zayo Network,33.78769,-84.382969
48,Opp-000029,Acct-000141,1 - Working,False,False,7/6/16,,,New Service,IP Services,Bldg-120365,Dallas,6900 Dallas Pkwy,Plano,TX,75024,114.78,On Zayo Network,33.07242,-96.82369
49,Opp-000030,Acct-000038,1 - Working,False,False,7/6/16,5.0,,New Service,Dark Fiber - Metro,Bldg-111681,Denver,6900 S Peoria St,Centennial,CO,80112,244.81,On Zayo Network,39.5913091,-104.8470746
50,Opp-000031,Acct-000448,5 - Accepted,True,True,7/6/16,93.0,,New Service,Dark Fiber - Metro,Bldg-109234,Denver,555 17th St,Denver,CO,80202,97.89,On Zayo Network,39.745216,-104.989305
51,Opp-000032,Acct-001020,Closed - Lost,True,False,7/6/16,12.0,,New Service,Wavelengths - Long Haul,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network,33.744265,-84.581427
52,Opp-000033,Acct-000409,Closed - Lost,True,False,7/6/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
53,Opp-000034,Acct-000382,1 - Working,False,False,7/6/16,12.0,,New Service,IP Services,Bldg-014141,Denver,4300 Brighton Blvd,Denver,CO,80216,247.0,On Zayo Network,39.777368,-104.968254
54,Opp-000035,Acct-000604,5 - Accepted,True,True,7/6/16,12.0,,New Service,Ethernet,Bldg-016856,Atlanta,1033 Jefferson St NW,Atlanta,GA,30318,539.41,On Zayo Network,33.7775391,-84.4214611
55,Opp-000035,Acct-000604,5 - Accepted,True,True,7/6/16,12.0,,New Service,Ethernet,Bldg-019879,Atlanta,2836 Peterson Pl NW,Norcross,GA,30071,2357.82,Not on Zayo Network,33.9381625,-84.2267439
56,Opp-000036,Acct-000035,1 - Working,False,False,7/6/16,36.0,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,39.74556,-104.995682
57,Opp-000037,Acct-000949,5 - Accepted,True,True,7/6/16,36.0,,New Service,IP Services,Bldg-117716,Dallas,6653 Pinecrest Dr,Plano,TX,75024,535.09,On Zayo Network,33.064858,-96.810993
58,Opp-000038,Acct-000579,5 - Accepted,True,True,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network,39.7451918,-104.9792774
59,Opp-000039,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-070187,Atlanta,760 Doug Davis Dr,Atlanta,GA,30354,153.79,On Zayo Network,33.657159,-84.415204
60,Opp-000039,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-434046,Atlanta,5295 Brook Hollow Pkwy,Norcross,GA,30071,122.02,Not on Zayo Network,33.9274748,-84.1849962
61,Opp-000040,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-070187,Atlanta,760 Doug Davis Dr,Atlanta,GA,30354,153.79,On Zayo Network,33.657159,-84.415204
62,Opp-000040,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-091976,Atlanta,40 Perimeter Ctr E,Atlanta,GA,30346,3168.87,Not on Zayo Network,33.9260138,-84.3268269
63,Opp-000041,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-038169,Atlanta,3001 Cobb Pkwy SE,Atlanta,GA,30339,239.83,On Zayo Network,33.880008,-84.457198
64,Opp-000041,Acct-000340,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-434046,Atlanta,5295 Brook Hollow Pkwy,Norcross,GA,30071,122.02,Not on Zayo Network,33.9274748,-84.1849962
65,Opp-000042,Acct-000324,Closed - Lost,True,False,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014640,Dallas,3180 Irving Blvd,Dallas,TX,75247,297.58,On Zayo Network,32.807183,-96.868566
66,Opp-000043,Acct-000324,Closed - Lost,True,False,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
67,Opp-000044,Acct-001020,1 - Working,False,False,7/7/16,12.0,,New Service,IP Services,Bldg-038523,Atlanta,375 Riverside Pkwy,Lithia Springs,GA,30122,274.12,On Zayo Network,33.744265,-84.581427
68,Opp-000045,Acct-000002,Closed - Lost,True,False,7/7/16,12.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
69,Opp-000046,Acct-000002,Closed - Lost,True,False,7/7/16,12.0,,New Service,Wavelengths - Metro,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
70,Opp-000046,Acct-000002,Closed - Lost,True,False,7/7/16,12.0,,New Service,Wavelengths - Metro,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,32.787255,-96.794118
71,Opp-000047,Acct-001121,5 - Accepted,True,True,7/7/16,12.0,,New Service,IP Services,Bldg-070477,Atlanta,3414 Peachtree Rd NE,Atlanta,GA,30326,181.78,On Zayo Network,33.849889,-84.363949
72,Opp-000048,Acct-000948,Closed - Lost,True,False,7/7/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
73,Opp-000049,Acct-000545,2 - Best Case,False,False,7/7/16,36.0,,New Service,Ethernet,Bldg-015161,Dallas,400 S Akard St,Dallas,TX,75202,80.14,On Zayo Network,32.778334,-96.79855
74,Opp-000050,Acct-000341,Closed - Lost,True,False,7/7/16,36.0,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,32.787255,-96.794118
75,Opp-000051,Acct-000579,5 - Accepted,True,True,7/7/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-078151,Denver,639 E 18th Ave,Denver,CO,80203,80.1,On Zayo Network,39.7451918,-104.9792774
76,Opp-000052,Acct-000341,5 - Accepted,True,True,7/7/16,36.0,,New Service,IP Services,Bldg-065056,Dallas,2323 Bryan St,Dallas,TX,75201,64.67,On Zayo Network,32.787255,-96.794118
77,Opp-000053,Acct-000036,1 - Working,False,False,7/7/16,,,New Service,Wavelengths - Long Haul,Bldg-117188,Dallas,6000 Connection Dr,Irving,TX,75039,759.21,Not on Zayo Network,32.89366,-96.965954
78,Opp-000054,Acct-000948,1 - Working,False,False,7/7/16,,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
79,Opp-000055,Acct-000293,2 - Best Case,False,False,7/7/16,24.0,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
80,Opp-000055,Acct-000293,2 - Best Case,False,False,7/7/16,24.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
81,Opp-000055,Acct-000293,2 - Best Case,False,False,7/7/16,24.0,,New Service,Wavelengths - Long Haul,Bldg-038059,Atlanta,1003 Donnelly Ave SW,Atlanta,GA,30310,57.36,On Zayo Network,33.729225,-84.420197
82,Opp-000056,Acct-000246,5 - Accepted,True,True,7/7/16,24.0,,New Service,Wavelengths - Long Haul,Bldg-118824,Dallas,801 Industrial Blvd,Grapevine,TX,76051,193.13,On Zayo Network,32.9301381,-97.1042919
83,Opp-000057,Acct-000948,1 - Working,False,False,7/7/16,,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
84,Opp-000058,Acct-000025,5 - Accepted,True,True,7/8/16,1.0,,New Service,Dark Fiber - Metro,Bldg-143092,Atlanta,Gresham Rd & Cobb Pkwy SE,Marietta,GA,30060,36.11,On Zayo Network,33.953309,-84.521827
85,Opp-000059,Acct-000025,5 - Accepted,True,True,7/8/16,1.0,,New Service,Dark Fiber - Metro,Bldg-435582,Atlanta,Chastain Rd NW & George Busbee Pkwy NW,Kennesaw,GA,30144,54.26,On Zayo Network,34.034958,-84.572221
86,Opp-000060,Acct-000273,1 - Working,False,False,7/7/16,120.0,,New Service,FTT - Small Cell,Bldg-296612,Dallas,800 W Randol Mill Rd,Arlington,TX,76012,222.36,On Zayo Network,32.749437,-97.1162988
87,Opp-000061,Acct-000948,Closed - Lost,True,False,7/8/16,36.0,,New Service,Ethernet,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
88,Opp-000062,Acct-000958,Closed - Lost,True,False,7/8/16,36.0,,New Service,IP Services,Bldg-109254,Denver,2000 S Colorado Blvd/Annex Bldg,Denver,CO,80222,339.24,On Zayo Network,39.680732,-104.937182
89,Opp-000063,Acct-000948,Closed - Lost,True,False,7/8/16,36.0,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
90,Opp-000064,Acct-000545,1 - Working,False,False,7/8/16,36.0,,New Service,Ethernet,Bldg-480727,Dallas,501 Duncan Perry Rd,Arlington,TX,76011,1060.29,Not on Zayo Network,32.7474538,-97.0409166
91,Opp-000065,Acct-000333,Closed - Lost,True,False,7/8/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
92,Opp-000065,Acct-000333,Closed - Lost,True,False,7/8/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
93,Opp-000066,Acct-000286,Closed - Lost,True,False,7/8/16,,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
94,Opp-000067,Acct-000286,Closed - Lost,True,False,7/8/16,,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
95,Opp-000068,Acct-000408,5 - Accepted,True,True,7/8/16,36.0,,New Service,IP Services,Bldg-118217,Dallas,1100 Empire Central Pl,Dallas,TX,75247,351.63,On Zayo Network,32.8217917,-96.8736451
96,Opp-000069,Acct-001122,1 - Working,False,False,7/8/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-012582,Atlanta,56 Marietta St NW,Atlanta,GA,30303,66.45,On Zayo Network,33.755431,-84.391561
97,Opp-000070,Acct-000038,5 - Accepted,True,True,7/8/16,240.0,,New Service,Dark Fiber - Metro,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network,34.0354213,-84.0608807
98,Opp-000070,Acct-000038,5 - Accepted,True,True,7/8/16,240.0,,New Service,Dark Fiber - Metro,Bldg-403622,Atlanta,980 Walther Blvd,Lawrenceville,GA,30043,18091.79,On Zayo Network,33.974537,-84.014576
99,Opp-000071,Acct-001123,Closed - Lost,True,False,7/8/16,12.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
100,Opp-000072,Acct-000178,Closed - Lost,True,False,7/8/16,36.0,,New Service,IP Services,Bldg-266860,Denver,7600 Landmark Way,Greenwood Village,CO,80111,133.52,Not on Zayo Network,39.6172796,-104.8997303
101,Opp-000073,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
102,Opp-000074,Acct-000167,5 - Accepted,True,True,7/8/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,39.74556,-104.995682
103,Opp-000075,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
104,Opp-000076,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
105,Opp-000077,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
106,Opp-000078,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
107,Opp-000079,Acct-000957,Closed - Lost,True,False,7/8/16,36.0,,New Service,IP Services,Bldg-109818,Dallas,222 W Las Colinas Blvd,Irving,TX,75039,315.99,On Zayo Network,32.871478,-96.943924
108,Opp-000080,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
109,Opp-000081,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
110,Opp-000082,Acct-000004,5 - Accepted,True,True,7/8/16,252.0,,New Service,FTT - Dark Fiber,Bldg-015169,Denver,1425 Champa St,Denver,CO,80202,148.72,On Zayo Network,39.745214,-104.996223
111,Opp-000083,Acct-000019,1 - Working,False,False,7/9/16,60.0,,New Service,Wavelengths - Long Haul,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
112,Opp-000084,Acct-001046,2 - Best Case,False,False,7/9/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-090300,Dallas,3010 Waterview Pkwy,Richardson,TX,75080,436.62,On Zayo Network,32.994824,-96.752465
113,Opp-000085,Acct-000955,1 - Working,False,False,7/11/16,36.0,,New Service,Ethernet,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,39.74556,-104.995682
114,Opp-000086,Acct-000043,Closed - Lost,True,False,7/11/16,36.0,,New Service,Wavelengths - Long Haul,Bldg-016855,Atlanta,300 Satellite Blvd NW,Suwanee,GA,30024,374.79,On Zayo Network,34.0354213,-84.0608807
115,Opp-000087,Acct-000820,Closed - Lost,True,False,7/11/16,36.0,,New Service,Ethernet,Bldg-030642,Denver,393 Inverness Pkwy,Englewood,CO,80112,96.73,On Zayo Network,39.5643596,-104.8665482
116,Opp-000087,Acct-000820,Closed - Lost,True,False,7/11/16,36.0,,New Service,Ethernet,Bldg-038071,Atlanta,1100 White St SW,Atlanta,GA,30310,297.34,On Zayo Network,33.7338392,-84.4256845
117,Opp-000088,Acct-000442,5 - Accepted,True,True,7/11/16,36.0,,New Service,Ethernet,Bldg-110290,Dallas,2914 Taylor St,Dallas,TX,75226,160.31,On Zayo Network,32.7813744,-96.7808697
118,Opp-000088,Acct-000442,5 - Accepted,True,True,7/11/16,36.0,,New Service,Ethernet,Bldg-458042,Dallas,1530 Inspiration Dr,Dallas,TX,75207,561.44,On Zayo Network,32.791441,-96.816037
119,Opp-000089,Acct-000442,5 - Accepted,True,True,7/11/16,36.0,,New Service,Dark Fiber - Metro,Bldg-140252,Dallas,2500 Victory Ave,Dallas,TX,75219,767.17,On Zayo Network,32.790442,-96.810159
120,Opp-000089,Acct-000442,5 - Accepted,True,True,7/11/16,36.0,,New Service,Dark Fiber - Metro,Bldg-458042,Dallas,1530 Inspiration Dr,Dallas,TX,75207,561.44,On Zayo Network,32.791441,-96.816037
121,Opp-000090,Acct-000507,Closed - Lost,True,False,7/11/16,60.0,,New Service,Wavelengths - Long Haul,Bldg-017035,Denver,910 15th St,Denver,CO,80202,96.49,On Zayo Network,39.74556,-104.995682
122,Opp-000091,Acct-000106,Closed - Lost,True,False,7/11/16,,,New Service,IP Services,Bldg-018754,Atlanta,180 Peachtree St NW,Atlanta,GA,30303,1055.22,On Zayo Network,33.758884,-84.38769
123,Opp-000092,Acct-000948,Closed - Lost,True,False,7/11/16,36.0,,New Service,IP Services,Bldg-014866,Dallas,1950 N Stemmons Fwy,Dallas,TX,75207,239.8,On Zayo Network,32.800805,-96.819612
